4,0.00000
4,1.64490
6,2.17105
2,3.47607
4,4.41999
6,12.35674
4,13.25679
2,13.54582
4,15.11726
6,15.55688
4,16.49330
2,16.96058
4,16.73546
6,16.92333
8,17.55924
10,18.10059
6,17.58398
8,17.97910
2,17.99081
4,18.12730
6,18.43459
8,19.32466
2,18.68904
2,19.49094
4,20.49211
6,21.13810
6,19.79318
4,20.01535
2,20.19287
8,19.91993
10,20.26684
4,20.28341
6,20.95352
4,20.58079
2,22.06312
2,20.73095
4,21.47677
2,21.43590
4,22.63592
6,21.82641
8,22.05968
4,21.83637
6,22.19323
6,22.33594
8,22.59229
10,23.34025
6,23.06709
4,23.25285
2,23.07459
4,23.65526
6,24.66580
8,25.16273
8,23.25112
6,23.80225
4,24.27420
2,24.38208
2,23.34283
6,23.39837
4,24.72208
8,23.53742
10,25.05424
6,23.56078
4,23.60279
4,23.78739
8,24.34122
6,24.36365
2,24.03565
4,24.39078
6,24.85712
2,24.90835
4,25.31013
6,25.67175
4,24.92425
2,25.05158
6,25.44218
8,25.44363
4,25.54833
2,25.95531
10,25.56755
8,25.62916
6,25.86572
8,27.24147
4,26.49984
6,27.15275
6,26.73415
8,26.93429
4,26.79807
6,26.89350
2,27.28664
4,27.83423
2,27.37445
8,28.38933
2,28.86493
4,29.20580
